store_id, x, yaxis,storetype, ,APPLES, BANANAS,GRAPESG,MELONCA,ORANGES,CARROTS,CELERY,GREENPE,LETTUCE,ONIONS,TOMATOES,POTATOES,ORANGES1,PEACHES,VEGETABL,MUSHROOM,SPAGHETT,TOMATOS,ORANGEJ,BROCCOLI,GREENBE,GREENPE1,FRENCHF,BREADW,BREADW1,HAMBURGE,ROLLSD,FRENCHO,BAGELS,BREADCR,READY_TO,READY_TO1,FLOURW,MACARONI,NOODLES,POPCORN,RICEWH,SPAGHETT1,MILK1_,MILKWH,CHEESE,CHEESE1,CHEESE2,EVAPORAT,BEEFGR,CHICKEN,CHICKEN1,TURKEY,PORKGR,TURKEY1,EGGSGR,FISHFL,TUNAFIS,BEANSG,BEANSK,BEANSB,MARGARIN,SHORTENI,SALADDR,VEGETABL1,SUGARB,SUGARP,SUGARW,JELLYG,MOLASSES,PANCAKE,CHOCOLAT,FRUITDR,FUDGESIC,BAKINGP,BAKINGS,CHILEPO,CINNAMON,CUMIN,ONIONPO,GARLICP,ITALIAN,OREGANO,PAPRIKA,BLACKPE,SALTAN,VANILLA,CHICKEN2,CATSUP,SOYSAUC,LEMONJU,GELATIN,CHOCOLAT1
1,-89.333087,30.308254,convience,80,1.59,0.69,0,1.33,4.99,0.89,1.99,1.29,2.49,2.99,1.99,0.99,1,1.76,0.6,1.19,1.54,0,1.9,2.19,1.89,1.89,3.59,1.19,1.89,1.29,1.29,2.29,2.19,1.39,2.69,2.79,2.69,1,1.69,1.79,4.19,1,4.49,4.49,4.99,2.49,5.49,0,3.99,5.43,1.99,1.3,0,3.99,2.79,0,1.5,0.89,0.6,1.79,1.39,4.19,4.39,3.49,2.19,2.19,2.99,3.29,0,2.99,2.59,2.5,3.5,0,0,2.79,2.19,3.19,3.29,6.39,2.99,2.89,3.19,1,0.99,10.99,2.49,2.39,1.79,2.49,1.09,3.29
2,-89.337488,30.319606,convience,0,0,0.704497,0,2.07733,2.61556,0,1.92022,2.624,1.48467,0,0,2.23867,1.13452,1.70406,0,0,2.05403,0,1.84281,0,0,0,0,1.942,2.522,1.962,0,0,0,2.0902,2.482,2.66337,2.36,0,1.569,0,3.05227,1.67334,4.714,4.174,3.9,0,4.79073,0,3.7464,3.02075,1.739,0,0,4.20428,0,0,1.316,0,0.91,0,1.404,0,0,3.862,1.472,0,2.642,0,0,2.802,0,2.768,0,0,0.807989,0,1.732,0,2.10673,0,2.25547,0,0,3.19411,0.924988,0,2.1698,1.664,1.942,2.51,0,2.822
3,-89.344478,30.317741,convience,0,1.65394,0.704556,2.49695,0,2.61556,0,1.92022,2.624,0,0,1.63463,2.23867,1.21957,1.70913,1.16229,0,2.14219,0,1.83199,0,2.186,0,0,1.942,0,1.962,2.082,0,0,2.0902,2.482,2.68118,2.36,1.34181,0,1.432,2.98169,1.67378,0,4.174,3.9,2.43564,4.79622,1.432,0,3.02075,1.739,0,0,4.20435,2.112,0,1.316,0,0,1.30673,1.404,4.08087,0,3.862,0,1.492,2.642,2.43444,0,0,2.6171,0,0,0,0.835549,0,0,2.73651,2.10673,2.602,0,2.40111,2.032,3.19501,0.949052,3.872,0,1.664,1.942,0,1.11722,0
4,-89.495973,30.238208,convience,0,1.5513,0,0,0,0,0,0,0,0,1.67743,1.70246,0,1.30791,1.79325,0,1.22018,2.26881,0,0,0,0,2.16875,0,2.40381,2.84178,2.62358,2.27133,2.57225,0,0,2.74495,2.84826,2.26376,1.41951,1.569,0,3.08638,0,4.65511,4.55582,0,0,0,1.25323,0,0,0,2.316,0,0,2.03347,5.803,1.5008,0,1.21271,0,0,3.50453,3.4305,0,1.626,0,3.1152,2.4553,0,0,0,2.82756,3.0616,0,0,0,1.50983,2.64852,0,0,2.088,0,2.3296,0,0.960943,4.03423,0,1.73418,1.74413,2.42271,0,2.90154
5,-89.349853,30.315707,grocery,0,1.184,0,1.83108,0,0,0,0,2.25874,1.76242,0.972503,2.09,0,0.953091,1.32033,0,0.754364,1.93217,0,1.69009,0,0,0,0,1.79894,2.6596,1.76867,0,1.897,2.245,1.39933,2.402,2.28902,1.98533,1.10367,1.26194,2.43951,2.34207,1.20717,3.5262,3.541,2.65751,0,3.55411,1.09945,0,2.4575,1.97486,0,0,2.9514,1.66323,0,0.882,0.818977,0.7844,1.52444,0,2.96705,2.46091,2.91133,0,1.46691,0,2.02333,0,2.01732,2.53356,0,2.511,0,0.756333,0.949641,1.13636,0,1.302,1.05423,0,1.73917,1.2218,1.17764,1.24405,1.74674,1.491,1.70831,1.50691,1.89778,1.25343,3.56883
6,-88.938541,30.398211,convience,0,0,0.68,0,1.934,0,0,0,2.176,0,1.726,0,0,1.234,1.98488,0,0.783494,2.12827,0.593845,0,0,1.558,0,0,2.482,2.782,2.272,0,0,0,0,3.302,3.50107,2.054,0,0,1.356,2.576,1.40207,3.742,3.802,0,0,0,0,2.936,0,1.782,0,0,2.96463,1.772,0,1.522,0,0,0,0,3.45321,3.542,3.742,1.534,1.684,0,2.74981,2.7925,2.4064,2.81739,2.092,0,0,0,0.64,0.648,2.76639,1.17,1.186,0.738,0,0,2.12057,1.48216,0,0,1.988,1.21,0,1.022,4.292
7,-88.878984,30.403171,convience,0,1.0989,0.641,0,0,0,1.89948,1.962,0,0,0,2.168,3.028,1.35689,2.00289,0,0,2.12827,0,0,1.58163,1.558,1.6,0,2.47,0,2.272,0,2.586,0,1.332,4.05,3.87972,2.098,1.446,1.628,1.482,0,1.37658,3.55,3.91,4.234,3.59092,0,1.272,0,0,0,0,0,0,1.618,0,1.522,0,0,0,1.266,3.56386,3.63,3.742,1.472,0,2.91,2.7656,0,2.2744,0,2.092,2.638,1.782,1.50309,0,0,0,0,2.106,0,1.57,1.944,2.12286,2.07106,3.521,0,2.386,1.174,0,1.022,0
8,-88.90278,30.403554,convience,0,1.11198,0.641,0,0,0,0,0,2.176,2.322,1.726,0,0,1.24864,1.98487,0,0,0,0,1.624,1.59276,1.558,1.6,1.94845,2.47,2.782,2.272,2.122,0,2.626,0,4.05,3.73559,0,1.446,0,0,0,0,3.55,3.91,4.006,0,2.61494,1.272,0,0,1.782,0,0,2.91477,0,5.274,1.522,1.0544,0.888,1.432,0,0,3.63,3.742,1.472,2.082,2.91,2.74988,0,2.2744,0,2.092,0,0,1.41027,0,0,0,1.17,1.258,0,1.862,0,2.12191,1.79464,2.302,0,2.386,1.216,0,1.022,0
9,-88.90765,30.401083,convience,0,0,0.641,0,1.934,0,0,2.022,0,0,0,0,2.768,1.23401,1.98488,0.592,0.784896,2.12827,0,0,1.59521,1.558,0,2.08757,2.47,2.782,0,0,0,0,1.332,4.05,3.70217,0,1.66,0,1.404,2.956,1.40215,3.742,3.91,4.006,3.38505,0,1.356,2.936,2.108,0,0,0,0,1.62,0,1.522,1.05442,0.888,1.432,0,0,3.63,3.742,1.534,0,2.91,2.74981,0,2.4064,2.82481,2.092,2.942,0,1.39118,0.64,0,2.73627,0,0,0.738,0,1.154,2.12174,1.7636,2.302,0,2.386,1.216,1.672,1.022,0
10,-88.933976,30.443829,convience,0,1.13493,0,0,0,0,0,0,0,2.322,1.726,0,0,1.234,1.98488,0,0,2.12827,0,0,1.6052,0,1.6,0,2.482,2.782,2.272,0,2.586,0,0,3.302,3.53152,2.054,1.66,0,0,2.576,0,3.742,3.802,0,0,0,0,2.936,0,1.782,2.448,0,2.9648,1.772,5.274,1.522,0,0.904,1.432,1.356,0,3.542,3.742,0,0,2.762,2.74981,0,2.4064,2.81816,0,0,0,1.28526,0,0,2.76721,0,1.186,0,0,0,2.12036,1.23862,1.418,1.268,1.988,1.21,1.672,0,4.292
