Food_Item,Food_coded,AVE,STD,MIN,MAX,CNT,grocery,Conv - Percent Missing,superstore -Percent Missing,GroceryAvg,ConvAvg,superstoreAvg,
"Apples,_any_variety_(bagged_or_loose)",APPLES,1.284190476,0.337058783,0.79,2.24,22,0.38,0.545455,0.571429,1.266,,,
Bananas,BANANAS,0.66175,0.122694937,0.49,0.99,21,0.384615,0.590909,0.571429,0.6,,,
Grapes_(green_or_red),GRAPESG,2.395333333,1.127208758,1.58,5.99,16,0.461538,0.727273,0.571429,1.887142857,,,
"Melon_(cantaloupe,_honeydew,_or_watermelon)",MELONCA,1.909215686,1.737631901,0.56,7.99,17,0.384615,0.727273,0.571429,1.238020833,,,
"Oranges,_any_variety_(bagged_or_loose)",ORANGES,1.800526316,1.499486228,0.44,4.99,20,0.384615,0.590909,0.571429,1.06375,,,
"Carrots,_unpeeled_(bagged_or_loose)",CARROTS,1.2105,0.676745714,0.59,2.99,21,0.384615,0.590909,0.428571,0.9575,,,
"Celery,_bunch",CELERY,1.6315,0.505504463,0.87,2.49,21,0.384615,0.590909,0.571429,1.25375,,,
Green_pepper,GREENPE,2.237222222,0.902317354,0.89,3.99,19,0.384615,0.636364,0.571429,2.29625,,,
"Lettuce,_leaf_(green_or_red)",LETTUCE,1.976315789,0.6806829,0.72,2.99,20,0.384615,0.590909,0.428571,1.93375,,,
"Onions,_yellow_(bagged_or_loose)",ONIONS,1.352631579,0.647927059,0.49,2.99,20,0.384615,0.681818,0.285714,1.1825,,,
Tomatoes_(any_variety),TOMATOES,2.318888889,1.264275675,0.67,6.74,19,0.384615,0.681818,0.428571,2.24,,,
"Potatoes,_any_variety",POTATOES,2.324,1.067311933,0.6,4.69,21,0.461538,0.590909,0.142857,2.467142857,,,
"Oranges,_mandarin_(juice_or_light_syrup)",ORANGES1,1.15,0.546922004,0.43,2.09,30,0.153846,0.318182,0.285714,1.025454545,,,
"Peaches,_any_variety_(light_syrup)",PEACHES,1.670555556,0.502929407,0.43,2.69,37,0.076923,0.090909,0.285714,1.491666667,,,
"Vegetables,_canned",VEGETABL,0.979090909,0.564950521,0.4,2.25,11,0.846154,0.68182,0.571429,0.661,,,
"Mushrooms,_pieces",MUSHROOM,3.231034483,11.69268882,0.49,65,30,0.153846,0.409091,0.285714,0.861818182,,,
"Spaghetti_sauce,_any_variety",SPAGHETT,1.822432432,0.909442798,0.04,4.39,38,0.076923,0.136364,0.142857,1.630833333,,,
"Tomato_sauce,_any_variety",TOMATOS,1.101428571,1.994046377,0.11,8.19,15,0.538462,0.772727,0.428571,0.508333333,,,
"Orange_juice,_concentrate",ORANGEJ,1.711538462,0.263281281,1.19,1.99,14,0.538462,0.681818,0.714286,1.725,,,
"Broccoli,_chopped",BROCCOLI,1.654375,0.709437432,0.98,3.79,17,0.461538,0.681818,0.571429,1.314285714,,,
Green_beansany_variety,GREENBE,1.751666667,0.820622357,0.98,3.89,19,0.461538,0.636364,0.428571,1.314285714,,,
Green_peasany_variety,GREENPE1,1.744375,0.769269134,0.88,3.69,17,0.461538,0.636364,0.571429,1.162857143,,,
French_friesany_variety,FRENCHF,2.556666667,0.834536577,1.49,4.29,22,0.384615,0.500000,0.571429,2.42375,,,
"Bread,_white,_enriched",BREADW,1.825405405,0.816279812,0.76,3.58,38,0.076923,0.045455,0.428571,1.381666667,,,
"Bread,_whole_wheat",BREADW1,2.519117647,1.013370447,1.15,5.79,35,0.076923,0.181818,0.428571,2.320833333,,,
"Hamburger_buns,_enriched",HAMBURGE,1.868484848,0.763341468,0.76,3.19,34,0.076923,0.136364,0.571429,1.643333333,,,
"Rolls,_dinner,_enriched",ROLLSD,2.153333333,0.77721613,0.99,3.99,19,0.384615,0.590909,0.714286,2.0625,,,
"French_of_Italian_Bread,_enriched",FRENCHO,2.669411765,1.124676279,1.07,5.99,18,0.384615,0.63636,0.714286,2.3125,,,
"Bagels,_plain,_enriched",BAGELS,2.788235294,0.966114108,1.19,4.39,18,0.384615,0.636364,0.714286,2.52625,,,
