ObjectID,Name,OriginID,Destinatio,Destinat_1,Total_tota,Total_BusL,Total_time
1,STORE-1 - STORE-1,1,1,1,0.00000000000,0.00000000000,0.00000000000
2,STORE-1 - STORE-2,1,2,2,3.92418456166,0.00000000000,0.39241845136
3,STORE-1 - STORE-3,1,3,3,4.35774858800,0.00000000000,0.43577485756
16,STORE-1 - STORE-4,1,4,16,41.01279690140,0.00000000000,4.10127963016
4,STORE-1 - STORE-5,1,5,4,4.54833779780,0.00000000000,0.45483379543
57,STORE-1 - STORE-6,1,6,57,53.87757685870,13.96356001300,5.38775770362
68,STORE-1 - STORE-7,1,7,68,55.94262578800,17.43375068590,5.59426259611
63,STORE-1 - STORE-8,1,8,63,55.26019295690,16.49449813330,5.52601931389
65,STORE-1 - STORE-9,1,9,65,55.82717898310,16.25359870640,5.58271791998
100,STORE-1 - STORE-10,1,10,100,63.94469265390,19.38354394260,6.39446927703
102,STORE-1 - STORE-11,1,11,102,64.61525558140,19.38354394260,6.46152556867
52,STORE-1 - STORE-12,1,12,52,53.08334778410,12.21954107900,5.30833479579
51,STORE-1 - STORE-13,1,13,51,52.95628424310,12.07887006790,5.29562844193
105,STORE-1 - STORE-14,1,14,105,64.80744839200,19.38354394260,6.48074485457
98,STORE-1 - STORE-15,1,15,98,63.30541734340,11.38941104390,6.33054174924
48,STORE-1 - STORE-16,1,16,48,52.66649152840,11.38941104390,5.26664917060
111,STORE-1 - STORE-17,1,17,111,69.28733499920,21.14718779940,6.92873352335
112,STORE-1 - STORE-18,1,18,112,69.30529207850,11.32303544590,6.93052923996
113,STORE-1 - STORE-19,1,19,113,69.88415238600,11.32303544590,6.98841527197
50,STORE-1 - STORE-20,1,20,50,52.80614423140,11.38941104390,5.28061444065
62,STORE-1 - STORE-21,1,21,62,55.20480298230,16.33432165240,5.52048031543
61,STORE-1 - STORE-22,1,22,61,55.12337154250,16.19119797240,5.51233717232
55,STORE-1 - STORE-23,1,23,55,53.55690567160,13.29241026060,5.35569058466
45,STORE-1 - STORE-24,1,24,45,51.87095762700,9.95032152327,5.18709578021
106,STORE-1 - STORE-25,1,25,106,64.82184263120,0.00000000000,6.48218430813
